AD          OGR.NO      ARA SINAV   2.SINAV     ODEV        FINAL       DURUM       DEVAM SAYISI
selver      102         98          82          79          96          Gecti       0           
oğuz        105         33          55          35          84          Gecti       12          
Eren        111         75          35          90          64          Gecti       0           
Esma        134         34          76          45          76          Gecti       11          
ihsan       112         77          66          55          44          Gecti       13          
oğuz        105         33          55          35          94          Gecti       12          
polat       117         24          58          98          42          Gecti       11          
mert        123         15          75          90          72          Gecti       9           
yusuf       124         80          75          80          80          Gecti       0           
zübeyde     127         82          8           83          90          Gecti       4           
Esma        134         34          76          45          76          Gecti       11          
mehmet      156         85          100         40          35          Gecti       3           
safiye      166         52          74          55          72          Gecti       8           
arda        178         72          53          47          74          Gecti       13          
mustafa     210         29          99          16          64          Gecti       7           
inrahim     216         36          85          97          90          Gecti       12          
neşe        231         29          68          84          88          Gecti       12          
kadir       237         85          32          79          42          Gecti       9           
yasin       246         87          73          86          90          Gecti       14          
zeliha      254         12          95          0           100         Gecti       8           
salim       255         95          95          95          95          Gecti       13          
emre        258         60          70          80          50          Gecti       14          
idris       261         60          42          80          72          Gecti       1           
elif        275         100         63          48          75          Gecti       11          
irfan       291         2           77          97          57          Gecti       4           
doruk       303         54          79          34          84          Gecti       1           
yavuz       313         52          97          27          95          Gecti       8           
furkan      321         5           10          100         85          Gecti       10          
selin       326         45          36          100         63          Gecti       13          
İhsan       327         70          65          90          90          Gecti       13          
melike      330         45          78          86          50          Gecti       14          
ismail      334         81          12          25          91          Gecti       9           
Polat       340         100         100         100         100         Gecti       14          
semih       342         54          23          31          85          Gecti       6           
betül       354         75          92          76          41          Gecti       10          
mehmet      376         91          96          75          43          Gecti       5           
emir        377         45          38          99          45          Gecti       9           
esma        379         54          34          55          78          Gecti       8           
osman       398         78          95          12          36          Gecti       13          
veli        421         10          80          60          55          Gecti       13          
derya       422         98          85          89          90          Gecti       13          
fatma       423         46          64          90          35          Gecti       8           
veli        432         50          78          93          65          Gecti       8           
yunus       455         95          75          24          69          Gecti       14          
pırıl       458         65          23          86          38          Gecti       3           
berkay      475         69          14          74          56          Gecti       4           
sedef       486         45          52          80          98          Gecti       12          
arda        504         27          99          86          51          Gecti       11          
belgin      531         32          18          52          89          Gecti       4           
ilker       533         48          14          46          88          Gecti       8           
Muhammed    543         57          23          25          87          Gecti       12          
Ümit        545         22          55          75          100         Gecti       17          
idris       555         56          87          7           81          Gecti       10          
Edanur      560         90          85          83          96          Gecti       10          
gamze       573         28          61          81          70          Gecti       13          
eyşan       602         81          23          25          73          Gecti       7           
meryem      608         88          78          81          61          Gecti       11          
dilek       627         37          79          100         21          Gecti       10          
ali         650         76          55          55          90          Gecti       9           
akif        656         52          36          49          84          Gecti       2           
Erdem       677         60          70          80          90          Gecti       14          
beytullah   682         35          70          65          90          Gecti       8           
gizem       683         8           30          42          96          Gecti       4           
osman       685         44          12          55          92          Gecti       12          
Ertuğrul    686         68          84          57          72          Gecti       9           
alara       726         83          72          54          36          Gecti       5           
mehmet      769         54          21          46          98          Gecti       14          
aydın       784         15          56          78          83          Gecti       10          
galip       785         87          56          100         60          Gecti       12          
uğur        789         78          49          94          41          Gecti       13          
Damla       808         67          90          58          80          Gecti       13          
ömer        848         74          67          43          76          Gecti       3           
temel       863         25          50          75          60          Gecti       9           
Sümeyye     908         75          68          44          90          Gecti       7           
abdulhey    925         10          32          97          72          Gecti       10          
selim       929         93          40          100         10          Gecti       7           
reyhan      954         25          11          31          100         Gecti       13          
özcan       958         54          15          45          97          Gecti       11          
jale        961         71          88          58          56          Gecti       3           
ezel        962         58          5           79          67          Gecti       10          
Berk        963         65          48          89          87          Gecti       5           
ayşe        964         81          32          94          26          Gecti       9           
hüseyin     982         84          63          75          80          Gecti       10          
çakır       983         53          64          75          86          Gecti       11          
